,Area,Type,Price,Apartment Name
0,"Tembhode, Palghar",2 BHK Apartment,28.49 L - 39.59 L,Nisarg Shrushti Phase 1
1,"Amba Wadi, Palghar",1 BHK Apartment,12.62 L - 14.15 L,Saraswati Mateshwari Complex
2,"Bachu Bhai Dube Industrial Estate, Palghar","1, 2 BHK Apartments",24.05 L - 31.82 L,Rajesh Mahavir Gyan
3,"Haranwali, Palghar","1, 2 BHK Apartments",15.74 L - 22.2 L,Laxmi Complex
4,"Bachu Bhai Dube Industrial Estate, Palghar","1, 2 BHK Apartments",Price on Request,Rajesh Mahavir Chhaya
5,"Haranwali, Palghar","1, 2 BHK Apartments",18.89 L - 27.59 L,Aditya Shail Kunj
6,"Haranwali, Palghar",2 BHK Apartment,Price on Request,Ipsit Sweet Home Building 1
7,"Saphale, Palghar","2, 3 BHK Apartments",Price on Request,Prem Indraprastha 4
8,"Haranwali, Palghar",1 BHK Apartment,16.8 L,Sai Pooja Satyam Enclave
9,"Boisar, Palghar","1, 2, 3 BHK Apartments",22.42 L - 34.2 L,Sai Rydam Vibrant Homes
10,"Vishnu Nagar, Palghar","1 RK, 1, 2 BHK Apartments",12.24 L - 23.11 L,Key Homes Krushna Kunj
11,"Mahim, Palghar","1, 2 BHK Apartments",11.33 L - 17.53 L,Aditya Shail Pushp
12,"Shelwadi, Palghar","1, 2 BHK Apartments",19.84 L - 33.34 L,Amal Maple Terraces
13,"Boisar, Palghar","1, 2, 3 BHK Apartments",22.42 L - 34.2 L,SML Krisha Apartment - 2
14,"Juna Palghar, Palghar",1 BHK Apartment,14.5 L,Bafna Iris &amp; Ivy
15,"Shelwadi, Palghar",1 BHK Apartment,17.25 L - 18.2 L,Axis Maple Terraces Building No B 11
16,"Vajulsar, Palghar",1 BHK Apartment,17.12 L,FIA Pratham
17,"Allyali, Palghar","1, 2 BHK Apartments",8.41 L - 15.35 L,Shree Balaji Shyam Regency Phase 2
18,"Gothan Pura, Palghar",1 BHK Apartment,15.66 L,Oswal Lifespaces
19,"Saphale, Palghar","1 RK, 1 BHK Apartments",9.38 L - 13.75 L,Krisha Phalguni
20,"Vishnu Nagar, Palghar","1, 2 BHK Apartments",Price on Request,Swastik Majithia Swastik Galaxy
21,"Haranwali, Palghar","1 RK, 1 BHK Apartments",15.98 L - 25.57 L,Mangalam Gokul Grand IV
22,"Virendra Nagar, Palghar","1, 2 BHK Apartments",19.5 L - 29.31 L,Riddhi Siddhi Greens Gardenia Phase 1
23,"Dhansar, Palghar","1 RK, 1 BHK Apartments",8.56 L - 13.2 L,Nirlon Serene
24,"Haranwali, Palghar","1 RK, 1 BHK Apartments",14.03 L - 19.0 L,Mangalam Gokul Grand 03
25,"Dhansar, Palghar","1, 2 BHK Apartments",15.26 L - 22.96 L,Nirmaan Arcade
26,"Dhansar, Palghar","1, 2 BHK Apartments",Price on Request,Sai Paradise
27,"Vevoor, Palghar","1, 1.5, 2 BHK Apartments",14.7 L - 19.5 L,Yash Park
28,"Dhansar, Palghar","1, 2 BHK Apartments",13.64 L - 21.06 L,Prathmesh Sai Yash Complex
29,"Dhansar, Palghar","1, 2 BHK Apartments",19.7 L - 28.25 L,Kotak Golden Eye
30,"Boisar, Palghar","1, 2, 3 BHK Apartments",20.96 L - 36.3 L,Shree Mahalaxmi Vinay Residency
31,"Tembhode, Palghar","1, 2 BHK Apartments",15.48 L - 19.98 L,Nest Leaf
